type,release_year,runtime,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_countries,prod_countries_cnt,main_genre,dbscan_clusters
SHOW,1996,25,4.0,7.8,15620.0,33.544,8.3,US,1,family,4
SHOW,1998,25,4.0,8.0,5008.0,35.757,8.7,JP,1,scifi,11
SHOW,1993,22,4.0,6.2,3902.0,13.313,6.3,US,1,scifi,2
SHOW,2000,21,8.0,7.2,4528.0,12.163,7.7,US,1,drama,13
SHOW,1999,19,5.0,6.8,2377.0,5.745,8.1,US,1,comedy,1
SHOW,1994,22,6.0,6.2,12657.0,21.489,7.5,US,1,comedy,1
SHOW,1996,21,6.0,5.8,3747.0,10.901,7.0,US,1,drama,13
SHOW,1994,45,7.0,7.8,3139.0,7.222,7.3,AU,1,drama,14
SHOW,1999,9,7.0,7.4,4281.0,40.189,7.5,FR,1,animation,15
SHOW,2000,40,1.0,9.0,2399.0,8.565,8.8,AR,1,drama,16
SHOW,1998,25,4.0,7.4,1727.0,7.905,7.6,FR,1,comedy,17
SHOW,2008,48,5.0,9.5,1775990.0,353.848,8.79,US,1,drama,13
SHOW,2002,58,32.0,8.7,117240.0,45.549,7.4,GB,1,comedy,0
SHOW,2010,46,11.0,8.2,956604.0,597.277,8.1,US,1,action,10
SHOW,2005,45,15.0,8.4,434081.0,388.093,8.278,US,1,scifi,2
SHOW,2010,57,12.0,8.6,9856.0,5.581,7.7,GB,1,reality,18
SHOW,2006,25,7.0,8.3,122698.0,48.88,7.4,US,1,comedy,1
SHOW,2010,58,4.0,8.5,25485.0,51.118,8.1,DK,1,drama,-1
SHOW,2009,23,6.0,8.5,257221.0,42.357,8.0,US,1,comedy,1
SHOW,2005,49,19.0,7.6,299165.0,803.786,8.252,US,1,drama,13
SHOW,2003,28,5.0,8.7,300445.0,30.131,8.043,US,1,comedy,1
SHOW,2007,44,15.0,8.4,16337.0,74.638,8.3,CA,1,drama,19
SHOW,2004,49,2.0,7.8,21531.0,10.922,7.7,FR,1,crime,-1
SHOW,2003,43,20.0,7.8,143846.0,251.622,7.6,US,1,crime,20
SHOW,2005,24,3.0,9.3,303666.0,56.915,8.7,US,1,scifi,2
SHOW,2006,43,5.0,8.7,65199.0,19.681,8.1,US,1,drama,13
SHOW,2006,25,5.0,8.5,149586.0,31.031,8.108,GB,1,comedy,0
SHOW,2008,22,2.0,8.3,14996.0,41.509,8.705,US,1,action,10
SHOW,2005,25,4.0,6.1,15808.0,53.044,8.2,US,1,drama,13
SHOW,2006,24,1.0,9.0,309445.0,120.545,8.664,JP,1,animation,8
SHOW,2009,42,8.0,7.7,314422.0,479.354,8.348,US,1,drama,13
SHOW,2002,23,6.0,8.4,96729.0,218.843,8.363,JP,1,animation,8
SHOW,2010,22,9.0,7.6,20910.0,52.369,8.1,CA,2,comedy,21
SHOW,2003,21,3.0,8.8,63107.0,14.116,8.1,US,1,comedy,1
SHOW,2010,25,4.0,6.9,24838.0,71.494,8.221,US,1,comedy,1
SHOW,2001,25,12.0,8.6,42733.0,22.603,8.0,CA,1,comedy,21
SHOW,2003,44,24.0,5.6,17905.0,14.501,5.3,US,1,reality,5
SHOW,2001,23,10.0,7.2,38046.0,67.192,7.7,CA,2,comedy,21
SHOW,2004,25,3.0,7.4,17864.0,33.115,8.6,US,1,family,4
SHOW,2007,26,6.0,6.7,38877.0,100.996,8.0,US,1,comedy,1
SHOW,2008,44,5.0,7.9,80927.0,74.931,7.9,GB,1,action,22
SHOW,2010,22,4.0,7.9,6636.0,28.925,8.0,US,1,action,10
SHOW,2001,47,5.0,7.6,1155.0,2.189,7.8,BE,2,reality,-1
SHOW,2010,44,7.0,8.3,4880.0,10.243,7.0,AU,1,drama,14
SHOW,2006,24,3.0,8.7,62367.0,35.011,8.493,JP,1,scifi,11
SHOW,2007,24,1.0,8.3,17024.0,27.924,8.2,JP,1,action,7
SHOW,2008,141,1.0,7.6,19812.0,9.68,7.3,GB,1,scifi,23
SHOW,2004,23,8.0,6.2,6700.0,25.633,8.222,IT,1,animation,-1
SHOW,2010,15,7.0,7.6,1083.0,40.327,7.4,GB,1,action,22
SHOW,2003,21,3.0,6.2,4709.0,37.945,7.5,JP,1,family,-1
SHOW,2006,25,3.0,7.2,15179.0,30.832,7.8,AU,1,scifi,24
SHOW,2002,29,9.0,8.9,7689.0,5.128,8.3,GB,1,comedy,0
SHOW,2008,25,3.0,8.2,1877.0,36.122,7.5,JP,1,scifi,11
SHOW,2004,44,4.0,7.3,45249.0,37.169,7.2,US,1,drama,13
SHOW,2003,23,4.0,7.0,13.0,31.584,6.9,US,1,animation,25
SHOW,2007,7,6.0,8.1,28.0,31.375,7.9,GB,1,animation,3
SHOW,2008,30,2.0,8.0,14828.0,24.352,8.5,JP,1,animation,8
SHOW,2009,25,4.0,6.3,12288.0,55.706,8.774,US,1,family,4
SHOW,2009,27,5.0,8.6,2256.0,7.356,7.9,JP,1,drama,9
SHOW,2005,11,4.0,3.9,93.0,27.339,7.1,GB,2,animation,3
SHOW,2007,23,6.0,7.3,10886.0,16.655,7.3,CA,1,war,-1
SHOW,2002,24,4.0,8.3,4261.0,3.926,6.6,AU,1,comedy,26
SHOW,2006,23,1.0,8.2,9929.0,18.186,8.4,JP,1,comedy,27
SHOW,2009,7,5.0,7.5,3169.0,38.171,6.9,RU,1,family,-1
SHOW,2010,36,2.0,7.8,1291.0,10.936,7.9,JP,1,scifi,11
SHOW,2008,22,3.0,8.1,1497.0,19.736,8.9,FR,1,action,28
SHOW,2008,25,2.0,7.3,5245.0,17.547,8.4,JP,1,animation,8
SHOW,2009,64,1.0,7.9,11902.0,80.384,8.28,KR,1,comedy,29
SHOW,2009,17,5.0,5.4,2578.0,25.677,5.2,US,1,animation,25
SHOW,2009,14,3.0,7.4,1261.0,11.735,6.6,GB,1,animation,3
SHOW,2003,24,5.0,7.3,5165.0,9.597,7.7,FR,1,action,28
SHOW,2010,24,1.0,6.5,346.0,5.014,8.8,US,1,comedy,1
SHOW,2006,22,10.0,6.6,4449.0,12.124,8.4,US,1,drama,13
SHOW,2009,55,1.0,8.1,1768.0,2.422,7.9,US,1,comedy,1
SHOW,2003,9,7.0,6.3,91.0,4.404,5.0,KR,1,scifi,30
SHOW,2008,45,1.0,7.0,1422.0,21.479,6.0,CN,1,action,31
SHOW,2007,25,1.0,7.8,881.0,13.045,7.9,JP,1,scifi,11
SHOW,2010,9,3.0,6.8,671.0,19.476,5.8,FR,1,comedy,17
SHOW,2005,18,6.0,5.1,8322.0,22.516,5.6,CA,2,animation,12
SHOW,2007,22,4.0,4.2,123.0,1.52,6.0,CA,1,animation,12
SHOW,2002,21,4.0,7.0,1860.0,8.06,8.1,US,1,comedy,1
SHOW,2007,20,2.0,5.6,737.0,28.909,8.2,JP,1,action,7
SHOW,2001,48,1.0,7.5,325.0,32.626,7.8,CO,1,drama,32
SHOW,2006,13,5.0,6.3,944.0,2.36,8.0,GB,1,animation,3
SHOW,2009,43,2.0,6.6,293.0,27.667,7.4,CO,1,drama,32
SHOW,2006,73,1.0,8.8,1051.0,1.41,8.8,AR,2,drama,16
SHOW,2009,14,3.0,6.9,1111.0,14.959,6.2,GB,1,animation,3
SHOW,2009,61,2.0,7.8,1951.0,9.239,7.6,KR,1,action,33
SHOW,2010,11,6.0,5.3,158.0,4.871,6.3,KR,1,animation,34
SHOW,2001,20,5.0,7.0,2323.0,6.204,7.9,US,1,comedy,1
SHOW,2004,3,2.0,6.3,122.0,1.841,7.2,FR,1,animation,15
SHOW,2010,9,1.0,7.4,586.0,4.963,7.4,FR,1,animation,15
SHOW,2005,49,1.0,7.1,61.0,0.6,7.0,US,1,documentation,35
SHOW,2008,44,2.0,8.0,774.0,189.665,7.5,CO,1,action,-1
SHOW,2007,44,1.0,7.1,211.0,13.94,7.8,CO,1,comedy,-1
SHOW,2006,56,1.0,7.9,441.0,0.6,8.0,US,2,comedy,1
SHOW,2008,22,12.0,4.1,885.0,1.504,6.1,IN,1,animation,-1
SHOW,2008,67,1.0,7.4,476.0,4.692,7.2,TW,1,comedy,36
SHOW,2009,44,1.0,7.6,622.0,1.649,7.3,FR,1,documentation,37
SHOW,2010,59,1.0,6.8,95.0,3.995,4.8,TW,1,drama,38
SHOW,2006,48,1.0,7.4,46.0,5.066,2.2,TW,1,drama,38
SHOW,2009,58,1.0,7.8,495.0,7.776,7.6,TW,1,drama,38
SHOW,2007,0,1.0,5.8,52.0,0.682,10.0,MX,1,drama,39
SHOW,2009,37,3.0,7.6,312.0,3.208,8.9,TW,1,action,-1
SHOW,2005,44,1.0,6.7,136.0,1.613,5.8,TW,1,drama,38
SHOW,2011,54,11.0,8.6,234232.0,252.934,8.112,US,1,drama,13
SHOW,2012,24,5.0,7.8,10809.0,48.881,8.3,US,1,animation,25
SHOW,2011,21,7.0,7.7,219079.0,72.923,7.3,US,1,comedy,1
SHOW,2012,55,11.0,8.5,26146.0,25.211,7.4,GB,1,family,40
SHOW,2011,59,5.0,8.8,526383.0,90.552,8.3,GB,1,drama,41
SHOW,2012,53,6.0,8.3,35021.0,36.854,7.8,US,1,drama,13
SHOW,2011,23,3.0,9.0,92162.0,178.265,8.8,JP,1,action,7
SHOW,2012,42,13.0,7.4,3998.0,13.078,7.9,US,1,reality,5
SHOW,2012,58,5.0,8.3,7017.0,3.392,7.3,GB,1,drama,41
SHOW,2012,24,5.0,8.4,21354.0,64.047,8.8,JP,1,scifi,11
SHOW,2012,42,8.0,7.5,427871.0,122.099,6.7,US,1,action,10
SHOW,2012,17,16.0,7.3,4798.0,67.932,7.8,DK,2,animation,-1
SHOW,2012,23,4.0,7.6,44606.0,58.325,8.284,JP,1,scifi,11
SHOW,2012,23,4.0,8.4,119272.0,56.153,8.307,US,1,animation,25
SHOW,2011,51,3.0,7.9,51041.0,18.887,7.6,HU,3,drama,-1
SHOW,2012,19,11.0,8.0,12522.0,13.067,7.1,US,1,comedy,1
SHOW,2011,48,2.0,8.4,24165.0,14.536,7.4,GB,1,drama,41
SHOW,2012,22,4.0,6.4,925.0,9.697,8.2,US,1,scifi,2
SHOW,2012,45,3.0,7.9,29366.0,15.363,7.4,NO,1,comedy,-1
SHOW,2011,41,11.0,4.5,28.0,11.811,6.6,US,1,reality,5
SHOW,2011,25,2.0,7.5,12985.0,46.557,8.1,JP,1,scifi,11
SHOW,2012,22,10.0,7.5,1486.0,7.81,9.0,US,1,documentation,35
SHOW,2012,27,5.0,5.9,20.0,13.25,6.9,GB,1,comedy,0
SHOW,2012,40,5.0,8.1,8718.0,11.299,7.7,DK,1,comedy,-1
SHOW,2011,2,5.0,7.1,615.0,9.644,7.4,KR,1,comedy,29
SHOW,2011,22,2.0,6.9,4454.0,25.428,8.3,CA,2,scifi,6
SHOW,2012,44,1.0,8.4,5019.0,337.869,7.6,CO,1,crime,42
SHOW,2012,24,3.0,7.8,4006.0,28.161,8.6,JP,1,scifi,11
SHOW,2012,6,7.0,7.4,1887.0,30.905,7.4,US,1,family,4
SHOW,2012,24,3.0,8.3,8420.0,61.164,8.7,JP,1,comedy,27
SHOW,2011,24,1.0,6.2,1519.0,8.022,6.5,JP,1,scifi,11
SHOW,2011,41,2.0,8.0,2445.0,108.286,7.693,MX,1,drama,39
SHOW,2011,25,2.0,7.3,1028.0,8.393,7.1,JP,1,scifi,11
SHOW,2011,43,1.0,7.1,108.0,4.989,1.0,TW,1,drama,38
SHOW,2012,23,2.0,6.2,391.0,10.849,7.6,JP,1,action,7
SHOW,2012,23,4.0,6.8,2783.0,5.685,6.9,US,1,comedy,1
SHOW,2011,14,4.0,6.0,126.0,11.341,7.7,KR,1,animation,34
SHOW,2012,16,5.0,7.6,20.0,3.483,5.0,US,1,animation,25
SHOW,2011,7,4.0,6.4,94.0,0.971,10.0,GB,1,family,40
SHOW,2012,44,9.0,7.4,264.0,6.693,8.1,AU,1,reality,43
SHOW,2011,4,3.0,5.0,37.0,1.403,5.8,GB,1,animation,3
SHOW,2011,43,8.0,7.3,44.0,4.71,9.1,US,1,reality,5
SHOW,2012,45,2.0,8.5,777.0,4.391,8.0,CL,1,drama,-1
SHOW,2011,15,3.0,6.0,16.0,3.657,8.0,CA,1,action,44
SHOW,2011,46,1.0,6.8,153.0,9.047,7.3,TW,1,comedy,36
SHOW,2011,47,1.0,6.8,156.0,3.417,7.0,CN,1,drama,45
SHOW,2011,46,1.0,6.5,114.0,3.195,8.0,TW,1,comedy,36
SHOW,2012,5,2.0,6.4,92.0,5.32,7.5,RU,1,animation,-1
SHOW,2012,16,3.0,6.6,269.0,1.29,8.3,SA,1,drama,-1
SHOW,2012,44,1.0,6.7,15.0,1.796,6.0,SG,1,drama,-1
SHOW,2012,45,1.0,7.5,124.0,1.774,6.5,TW,1,drama,38
SHOW,2013,58,6.0,8.8,511668.0,1038.077,8.558,GB,1,crime,46
SHOW,2014,60,6.0,8.4,156114.0,101.42,8.2,US,1,scifi,2
SHOW,2013,24,4.0,9.0,325381.0,85.661,8.6,JP,1,action,7
SHOW,2013,43,5.0,8.3,133406.0,114.436,8.6,US,1,scifi,2
SHOW,2013,43,9.0,8.0,242640.0,227.557,7.6,US,1,thriller,47
SHOW,2014,64,15.0,6.1,2021.0,15.176,5.6,US,1,reality,5
SHOW,2014,42,8.0,7.6,341393.0,537.156,7.8,US,1,drama,13
SHOW,2013,42,4.0,7.5,47751.0,50.864,8.0,US,1,drama,13
SHOW,2014,42,7.0,7.6,245631.0,217.82,7.9,US,1,scifi,2
SHOW,2014,41,8.0,6.4,2528.0,9.479,5.9,US,1,reality,5
SHOW,2014,43,5.0,7.8,227760.0,106.651,7.6,US,1,drama,13
SHOW,2013,52,6.0,8.7,497650.0,33.936,8.1,US,1,drama,13
SHOW,2014,43,6.0,8.1,148643.0,47.891,7.9,US,1,crime,20
SHOW,2014,26,6.0,8.8,148127.0,92.956,8.6,US,1,comedy,1
SHOW,2014,43,6.0,7.6,22894.0,28.001,6.9,US,1,war,48
SHOW,2014,42,5.0,7.8,46286.0,62.316,7.952,US,1,drama,13
SHOW,2014,24,5.0,5.6,5450.0,103.628,8.3,US,1,comedy,1
SHOW,2013,59,7.0,8.1,298009.0,87.316,7.7,US,1,drama,13
SHOW,2013,24,4.0,5.6,5525.0,44.482,8.1,US,1,action,10
SHOW,2013,46,9.0,8.6,22056.0,32.398,8.1,AU,1,drama,14
SHOW,2014,43,5.0,6.6,36415.0,66.412,7.2,US,1,action,10
SHOW,2014,55,2.0,8.0,71735.0,22.636,7.4,US,1,action,10
SHOW,2014,45,3.0,6.9,20132.0,24.329,6.3,US,1,scifi,2
SHOW,2013,24,4.0,6.8,2978.0,44.688,7.2,US,1,animation,25
SHOW,2014,25,5.0,7.9,31085.0,25.225,8.503,JP,1,scifi,11
SHOW,2013,24,1.0,5.6,9744.0,29.349,7.9,US,1,comedy,1
SHOW,2013,27,3.0,8.1,32622.0,9.295,7.4,GB,1,drama,41
SHOW,2014,21,5.0,7.3,15780.0,21.126,6.8,US,1,comedy,1
SHOW,2014,24,4.0,7.8,2148.0,47.398,8.2,JP,1,animation,8
SHOW,2014,25,3.0,8.0,19899.0,12.802,7.5,GB,1,comedy,0
SHOW,2014,57,4.0,8.1,6115.0,37.631,6.1,ES,1,drama,49
SHOW,2014,43,5.0,7.1,1143.0,4.211,7.5,US,1,reality,5
SHOW,2013,2,4.0,6.2,835.0,6.854,6.7,FI,1,comedy,-1
SHOW,2013,49,3.0,8.6,7062.0,14.873,8.4,IL,1,drama,50
SHOW,2013,49,3.0,7.0,39998.0,22.596,7.3,US,1,thriller,47
SHOW,2013,10,4.0,5.4,1930.0,11.398,6.0,FR,2,animation,15
SHOW,2013,20,1.0,8.3,3744.0,3.795,8.5,US,1,comedy,1
